タイトル,フリガナ,著者,カテゴリ,タイプ,読了巻/P,全巻/P,ステータス,形態,評価,読了日,メモ,完結済み,次巻発売日,発売日
中間管理録トネガワ [福本伸行]1-6,ちゅうかんかんりろくとねがわ,,manga,series,0,6,reading,,,,,false,,
朝食会[渡邊ダイスケx小林拓己],ちょうしょくかい,,manga,series,0,10,reading,,,,,false,,
沈黙の艦隊 愛蔵版,ちんもくのかんたい あいぞうばん,,manga,series,0,11,reading,,,,,false,,
定額制夫のこづかい万歳 月額2万千円の金欠ライフ[吉本浩二],ていがくせいおっとのこづかいまんざい,,manga,series,0,3,reading,,,,,false,,
テセウスの船,てせうすのふね,,manga,series,0,10,reading,,,,,false,,
哲也 雀聖と呼ばれた男［さいふうめい］全41巻,てつや じゃんせいとよばれたおとこ,,manga,series,0,41,reading,,,,,false,,
東京カンナビス特区 大麻王と呼ばれた男 [稲井雄人],とうきょうかんなびすとっく たいまおうとよばれたおとこ,,manga,series,0,10,reading,,,,,false,,
東京貧困女子。,とうきょうひんこんじょし,,manga,series,0,13,reading,,,,,false,,
東京卍リベンジャーズ,とうきょうまんじりべんじゃーず,,manga,series,0,25,reading,,,,,false,,
東京闇虫［本田優貴］,とうきょうやみむし,,manga,series,0,7,reading,,,,,false,,
東京闇虫 2nd,とうきょうやみむし せかんど,,manga,series,0,5,reading,,,,,false,,
ドカベン［水島新司］,どかべん,,manga,series,0,48,reading,,,,,false,,
ドラえもん［藤子不二雄］全45巻,どらえもん,,manga,series,0,45,reading,,,,,false,,
ドラえもん 大長編［藤子不二雄］全24巻,どらえもん だいちょうへん,,manga,series,0,24,reading,,,,,false,,
ドラゴンクエスト ダイの大冒険［三条陸］全37巻,どらごんくえすと だいのだいぼうけん,,manga,series,0,37,reading,,,,,false,,
ドラゴン桜［三田紀房］全21巻,どらごんざくら,,manga,series,0,21,reading,,,,,false,,
ドラゴン桜2［三田紀房］,どらごんざくらつー,,manga,series,0,7,reading,,,,,false,,
ドラゴンボール［鳥山明］全34巻,どらごんぼーる,,manga,series,0,34,reading,,,,,false,,
ドラゴンボール カラー版,どらごんぼーる からーばん,,manga,series,0,42,reading,,,,,false,,
ドラゴンボール超［鳥山明］,どらごんぼーるちょう,,manga,series,0,8,reading,,,,,false,,
ドラゴンボール超 カラー版,どらごんぼーるちょう からーばん,,manga,series,0,23,reading,,,,,false,,
トリリオンゲーム [稲垣理一郎×池上遼一],とりりおんげーむ,,manga,series,0,6,reading,,,,,false,,
どるから [石井和義×ハナムラ],どるから,,manga,series,0,9,reading,,,,,false,,
奴隷区-僕と23人の奴隷 ［オオイシヒロト］,どれいく ぼくとにじゅうさんにんのどれい,,manga,series,0,6,reading,,,,,false,,
七つの大罪,ななつのたいざい,,manga,series,0,39,reading,,,,,false,,
ナニハトモアレ［南勝久］,なにはともあれ,,manga,series,0,28,reading,,,,,false,,
なにわ友あれ[南勝久] 全31巻,なにわともあれ,,manga,series,0,31,reading,,,,,false,,
泪～泣きむしの殺し屋～ 全15巻,なみだ なきむしのころしや,,manga,series,0,15,reading,,,,,false,,
二階堂地獄ゴルフ [福本伸行],にかいどうじごくごるふ,,manga,series,0,10,reading,,,,,false,,
日本三國 [松木いっか],にほんさんごく,,manga,series,0,6,reading,,,,,false,,
のだめカンタービレ［二ノ宮知子］全25巻,のだめかんたーびれ,,manga,series,0,27,reading,,,,,false,,
バウンサー みずたまこと,ばうんさー みずたまこと,,manga,series,0,7,reading,,,,,false,,
バガボンド [井上武彦],ばがぼんど,,manga,series,0,41,reading,,,,,false,,
バガボンド カラー版,ばがぼんど からーばん,,manga,series,0,41,reading,,,,,false,,
バクチグイ,ばくちぐい,,manga,series,0,5,reading,,,,,false,,
白蓮のファング [高橋よしひろ],はくれんのふぁんぐ,,manga,series,0,1,reading,,,,,false,,
ハコヅメ～交番女子の逆襲～[泰三子],はこづめ こうばんじょしのぎゃくしゅう,,manga,series,0,16,reading,,,,,false,,
運びの犬 [清水ヤスヲミ],はこびのいぬ,,manga,series,0,13,reading,,,,,false,,
